1,1196,260,2716,608,318,364,1198,1022,1580,1265
2,1580,2916,608,377,260,110,733,296,858,1370
3,1270,260,2571,589,2918,1307,2797,2174,1220,2716
4,1291,2571,1200,589,2916,1270,1580,457,858,1197
5,608,593,1265,2858,457,1704,589,2396,1213,2028
6,1580,2080,595,594,1307,608,919,1022,1265,1028
7,589,260,733,1370,1198,1210,3256,110,780,1573
8,608,1704,593,318,457,1393,1682,2268,2916,1580
9,296,2571,2762,1265,1196,527,1580,589,260,356
10,1580,2916,2174,480,1198,608,1527,1197,2640,1777
11,608,296,2918,593,1777,1704,2797,1270,1517,1196
12,1196,608,260,1387,2028,1036,1097,1197,296,1270
13,2571,589,648,1270,733,377,1240,1291,608,1356
14,608,593,2571,318,1196,2028,50,1617,2599,1265
15,608,1580,589,648,2762,1196,377,2028,733,50
16,2716,2706,2701,2605,2710,2762,2581,2694,1513,1580
17,1580,1196,2916,608,1240,1200,2640,3527,296,318
18,1580,2571,608,457,480,1291,595,594,858,1270
19,1196,260,2916,2716,780,1291,457,2762,608,2985
20,1580,1196,2028,260,1036,2916,608,480,1610,780
21,1580,2571,588,1197,2716,1196,260,1270,1265,541
22,1580,589,260,780,2918,2174,2797,593,296,3087
23,1580,1196,260,1270,457,1210,316,1198,1356,1214
24,1196,2918,1097,1079,2571,3039,3526,593,1394,296
25,1580,2916,589,1527,316,260,1270,2762,1198,2858
26,2918,1580,1265,587,377,356,2571,2797,608,3039
27,1252,750,1196,904,1230,3334,1247,858,908,1270
28,1270,260,589,296,1580,1198,1197,1307,2028,1240
29,2916,1200,1387,457,592,2985,1610,1270,2640,2028
30,296,1196,589,1704,527,260,457,1198,2396,1089
31,2918,2174,2797,2406,1278,1234,1197,1079,1220,1196
32,296,589,1196,457,2858,318,2028,1089,1580,1704
33,1196,608,1036,593,858,457,1580,1291,1247,1214
34,1265,2797,1580,2003,3526,260,608,1663,597,357
35,593,3363,858,1270,1265,1136,3504,1307,260,1234
36,1196,589,260,2918,1610,1307,318,1370,2028,2174
37,539,1265,440,39,1777,2424,3255,1580,11,2571
38,597,1265,2424,1569,339,357,608,318,3255,1580
39,2997,2683,1580,2396,1196,589,1265,296,2571,2700
40,260,1291,1270,1240,1036,2571,1097,858,2640,2985
41,589,2571,480,1580,1198,2916,1240,1270,1200,1036
42,260,2985,1240,1527,480,1374,3527,1097,2011,1356
43,2716,1196,2571,1265,2396,2959,2683,608,318,2918
44,1196,260,2571,2918,1197,457,1240,2716,1265,1210
45,597,1265,1777,539,356,1569,1580,3255,3363,1196
46,1975,1979,1981,1991,2513,1345,3017,2003,1717,1994
47,608,296,527,1196,1704,2028,50,1617,2858,260
